OldMonk Genetica optimizer stats
gen	nevals	avg    	std    	min    	max    
0  	10    	1219.32	47.7156	1086.15	1255.68
1  	7     	1241.88	17.3432	1194.53	1254.89
2  	5     	1251.36	3.50554	1241.52	1254.89
3  	8     	1251.88	4.07257	1240.5 	1254.89
4  	10    	1254.26	1.25308	1251.76	1254.89
5  	5     	1254.57	0.93981	1251.76	1254.89
6  	8     	1254.57	0.93981	1251.76	1254.89
7  	10    	1254.89	0      	1254.89	1254.89
8  	8     	1254.98	0.27786	1254.89	1255.81
9  	4     	1252.74	6.43452	1233.44	1254.89
10 	7     	1254.67	0.64818	1252.73	1254.89
11 	4     	1252.82	6.21771	1234.16	1254.89
12 	5     	1252.58	4.63655	1242.54	1254.89
13 	9     	1252.7 	4.88482	1241.96	1256.73
14 	3     	1255.07	0.55353	1254.89	1256.73
15 	6     	1253.95	2.82531	1245.47	1254.89
